strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover,tc_drag_1bp,tc_drag_5bp,sharpe_net_1bp,sharpe_net_5bp
constant,0.10269590015984136,0.19006628857953,0.5403162282346036,-0.8027266424984981,0.0,0.0,0.0,0.5403162282346036,0.5403162282346036
garch,0.08028019127437494,0.09392132296521162,0.8547600133796098,-0.148557733851701,35.382383031072735,0.0035382383031072728,0.017691191515536366,0.8524417140322899,0.84316851664301
har,0.11038742876230889,0.1322968691744296,0.83439184503124,-0.2254039514416104,88.02700159281926,0.008802700159281925,0.04401350079640963,0.8302972309366892,0.8139187745584855
lgbm,0.10716891484757769,0.12837173703717633,0.8348326299934827,-0.21923899361326815,116.67088764805078,0.011667088764805078,0.05833544382402538,0.8292396956779575,0.8068679584158576
lstm,0.11091726223228271,0.1276363010428515,0.8690103154512783,-0.2141484477018747,134.74247932816692,0.013474247932816692,0.06737123966408345,0.8625138526002047,0.8365280011959102
