model,qlike,mse_log,r2_oos_vs_har,n_obs
lstm,0.33501629454255827,0.12477647668349462,0.13456402331378425,161886
lgbm,0.35551088811574166,0.13304222732842033,0.07723368211027881,161886
har,0.4093617809274771,0.144177593773335,,161886
garch,0.4589786692550421,0.311557008959686,-1.1609252922440376,161886
naive,0.6466694341957834,0.22495556415876944,-0.5602671557442374,161886
